GEM location ID,bus_id
L100000500289,way/319423421-765
L100000500278,way/311176519-765
L100000500290,way/429459345-765
L100000500220,way/429459345-765
L100000500044,way/331275940-765
L100000500206,way/910151268-765
L100000500287,way/409112085-765
L100000500108,way/425401901-765
L100000500218,way/910151268-765
L100000500288,IN486-765
L100000500219,IN121-765
L100000500164,way/311571096-765
L100000500186,way/473902678-765
L100000200633,way/293597835-765
L100000200185,way/1415199647-765
L100001019039,way/355560316-765
L100000200179,way/105373531-765
L100000200186,IN180-765
L100000200184,way/1341291951-765
L100001019040,way/355560316-765
L100000200180,way/352619220-765
L100000200178,way/608461884-765
L100000200176,way/910151268-765
L100000200181,way/293597835-765
L100000200182,way/429459345-765
L100000200634,way/608461884-765
L100000200177,way/910151268-765
L100000200635,IN642-765
L100000200636,IN809-765
L100000200637,way/386153973-765
L100000200183,way/311103617-765
L100000102430,way/429459345-765
L100000200639,way/492377703-765
L100000200640,way/429459345-765
L100000407594,IN440-400
L100000408400,way/331275940-765
L100000401464,way/311571096-765
L100000408399,way/1206014676-765
L100000407355,IN145-400
L100000401466,IN201-765
L100000407604,IN145-400
L100000407143,way/331275940-765
L100000408398,IN798-765
L100000408397,IN798-765
L100000401465,way/417569420-765
L100000407603,way/331275940-765
L100000401483,way/331275940-765
L100000401461,IN246-765
L100000401471,way/331275940-765
L100000401463,way/420797421-765
L100000407602,way/331275940-765
L100000401498,way/409158116-765
L100000401507,way/409158116-765
L100000401506,way/409158116-765
L100000401508,IN685-765
L100000408396,way/473902678-765
L100000408395,way/372701897-765
L100000401479,way/331275940-765
L100000401467,way/331275940-765
L100000407600,way/331275940-765
L100000104861,way/331275940-765
L100000408393,way/409158116-765
L100000408392,way/793144832-765
L100000407726,way/247861059-765
L100000407593,way/105373531-765
L100000407592,way/105373531-765
L100000401503,IN685-765
L100000401489,way/331275940-765
L100000401518,way/545571850-765
L100000407144,way/1415199647-765
L100000407123,way/1415199647-765
L100000102556,way/1074489047-765
L100000401490,way/331275940-765
L100000407598,way/425401901-765
L100000401501,way/409158116-765
L100000401494,way/923365745-765
L100000408391,IN798-765
L100000401510,way/545571850-765
L100000408390,way/375941438-400
L100000407596,IN85-765
L100000407597,way/355560316-765
L100000401488,IN659-765
L100000407595,way/118228036-400
L100000401520,IN440-400
L100000401519,IN145-400
L100000401514,way/545571850-765
L100000401482,way/331275940-765
L100000408389,way/323266562-765
L100000401469,way/473902678-765
L100000401459,way/247861059-765
L100000401458,way/247861059-765
L100000401462,way/1001700959-765
L100000401491,way/429459345-765
L100000407590,way/247861059-765
L100000407589,way/1206014676-765
L100000401502,way/409158116-765
L100000401475,way/331275940-765
L100000401511,way/545571850-765
L100000401521,IN440-400
L100000401487,way/473902678-765
L100000401478,way/331275940-765
L100000401486,way/473902678-765
L100000401474,way/331275940-765
L100000407146,way/688672711-765
L100000401480,way/331275940-765
L100000401512,way/1206014676-765
L100000401505,IN685-765
L100000401499,IN684-765
L100000102082,way/409158116-765
L100000407120,way/355560316-765
L100000102373,IN405-765
L100000102243,IN325-400
L100000102121,way/1246177377-765
L100000102441,IN578-765
L100000102519,way/631917408-765
L100000102193,way/1078426593-765
L100000105017,way/311954703-765
L100000102194,way/1127651311-765
L100000102375,way/201845280-765
L100000102442,IN607-765
L100000102443,way/323266562-765
L100000102444,IN612-765
L100000102610,IN375-765
L100000102611,IN375-765
L100000102612,way/196933682-765
L100001000082,IN375-765
L100000102318,way/202980838-765
L100000102123,way/311954703-765
L100000102537,way/1074489047-765
L100000102659,way/793144832-765
L100000102124,way/1246177377-765
L100000104755,way/473902678-765
L100000102661,way/118228036-400
L100000102032,IN684-765
L100000102125,way/353914865-765
L100000102377,way/840600239-765
L100000102663,way/793144832-765
L100000102033,way/315824842-765
L100000102616,way/422204218-765
L100000102127,way/1246177377-765
L100000102090,IN286-400
L100000102448,way/323266562-765
L100000102092,IN287-400
L100000102093,way/94199110-400
L100000102619,way/352619220-765
L100000102521,way/654736039-765
L100000102450,way/354062412-765
L100000102379,way/840600239-765
L100000102293,way/386018740-765
L100000102592,way/1207477934-765
L100000102197,way/688672711-765
L100000102130,IN541-765
L100000102199,way/331275940-765
L100000102384,IN659-765
L100000102132,way/311933111-765
L100000102452,way/323266562-765
L100000102385,way/318090288-765
L100001042985,way/654736039-765
L100000102324,way/193216698-765
L100000102133,way/353914761-765
L100000102522,way/1143180503-765
L100000104769,way/331275940-765
L100000102250,way/149822703-400
L100000102248,way/149822703-400
L100000102085,way/465787206-400
L100000102665,way/793144832-765
L100000102387,way/408924420-765
L100000102095,IN317-400
L100000102539,way/1074489047-765
L100000102137,way/353914865-765
L100000102523,way/655683221-765
L100000102388,way/840600239-765
L100000102389,way/840600239-765
L100000102252,way/149822703-400
L100000102540,way/1074489047-765
L100000102524,way/311571096-765
L100000102454,way/323266562-765
L100000102622,IN306-765
L100000102623,way/196933682-765
L100000102542,way/545571850-765
L100000102457,way/323266562-765
L100000102391,way/473902678-765
L100000102295,way/386018740-765
L100000102458,way/521570801-765
L100000102234,IN42-765
L100000102394,way/840600239-765
L100000102142,way/353914761-765
L100000102038,way/923365745-765
L100000102143,way/353914865-765
L100000102459,way/323266562-765
L100000102668,way/118228036-400
L100000102669,way/118228036-400
L100000102671,way/118228036-400
L100000102672,way/118228036-400
L100000102040,way/409158116-765
L100000102545,way/1074489047-765
L100000102546,way/910151268-765
L100000102673,way/324064297-400
L100000102626,IN283-765
L100000104976,way/331275940-765
L100000102331,way/514344408-765
L100000102332,way/514344408-765
L100000102207,way/688672798-765
L100000102593,way/923365745-765
L100000102628,IN267-765
L100000102402,way/840600239-765
L100000102525,IN218-765
L100000102400,way/840600239-765
L100000102145,way/311954703-765
L100000102511,way/372701897-765
L100000102263,way/149822703-400
L100000102548,way/1074489047-765
L100000102549,way/1074489047-765
L100001020387,IN148-765
L100000102512,way/372701897-765
L100000102674,way/759521252-765
L100000102630,IN128-765
L100000102148,way/353914865-765
L100000102149,way/311954703-765
L100000102210,way/331275940-765
L100000102466,IN583-765
L100000104433,way/759521252-765
L100000102599,IN684-765
L100000102467,IN578-765
L100000102237,IN94-765
L100000102265,way/149822703-400
L100000102632,way/1329624553-765
L100000102338,IN388-765
L100000102470,IN578-765
L100000102471,IN578-765
L100000102472,way/521570801-765
L100001000104,way/759521252-765
L100000102268,way/759521252-765
L100000102526,IN218-765
L100000102172,way/1246177377-765
L100000102405,way/473902678-765
L100000104954,way/323266562-765
L100000102303,way/386018740-765
L100000102554,IN798-765
L100000102104,way/205942950-400
L100001000079,way/688672711-765
L100000102595,way/1207477934-765
L100000102474,way/323266562-765
L100000102527,way/311571096-765
L100000102476,way/323266562-765
L100000102152,way/353914865-765
L100000102153,way/353914865-765
L100000102528,way/311571096-765
L100000102635,way/311103617-765
L100000102406,way/408924420-765
L100000102477,way/323266562-765
L100000102345,way/698045832-765
L100000102407,way/473902678-765
L100000102636,way/420797421-765
L100000102272,way/209806650-400
L100000102677,way/759521252-765
L100000102411,way/408924420-765
L100000102157,way/353914865-765
L100000102529,way/311571096-765
L100000102530,way/311571096-765
L100000102598,way/1207477934-765
L100000102159,way/311954703-765
L100000102306,way/492377703-765
L100000102637,way/166692103-400
L100000102213,way/1078426593-765
L100000102214,way/1127651311-765
L100000102657,way/1415199647-765
L100000102638,way/423702239-765
L100000102162,IN535-765
L100000102479,way/409112085-765
L100000102164,way/1246177377-765
L100000105026,way/323266562-765
L100000102275,way/149822703-400
L100000102347,IN394-765
L100000102348,IN412-765
L100000102238,IN94-765
L100000102276,way/118228036-400
L100000102052,way/409158116-765
L100000102480,IN607-765
L100000102414,way/840600239-765
L100000102639,way/352619220-765
L100000102165,way/311954703-765
L100000102415,way/408924427-765
L100000102053,way/315824842-765
L100000102640,IN312-765
L100000102680,way/118228036-400
L100001000101,way/923365745-765
L100000102481,way/323266562-765
L100000102560,way/386153973-765
L100000102561,way/386153973-765
L100000102417,way/408924420-765
L100000102655,way/409798382-400
L100000104761,way/192782338-765
L100000102353,IN399-765
L100000102217,way/688672711-765
L100000102055,way/315824842-765
L100000102562,way/425401901-765
L100000102112,way/92360278-400
L100000102113,way/577176545-400
L100000102114,way/324059200-400
L100000102563,way/545571850-765
L100001018066,IN607-765
L100000102419,way/318090288-765
L100000102420,IN642-765
L100000102421,IN642-765
L100000102642,way/417569420-765
L100000102059,way/315824842-765
L100000102565,way/545571850-765
L100000102355,way/514344408-765
L100000102566,way/545571850-765
L100000102567,way/545571850-765
L100000102568,way/545571850-765
L100000102569,way/1074489047-765
L100000102278,way/1015325412-400
L100000102340,way/319423421-765
L100000102644,way/196933682-765
L100000102279,way/923418232-400
L100000102600,way/1207477934-765
L100000102239,way/105373531-765
L100000102645,way/357515226-765
L100000102486,way/323266562-765
L100000102487,way/323266562-765
L100000102422,way/315477169-765
L100000102423,way/608461884-765
L100000102646,IN284-765
L100000102424,way/608461884-765
L100000102281,way/248385304-765
L100000102601,way/1207477934-765
L100000102117,way/205942950-400
L100000102426,IN659-765
L100000102681,way/118228036-400
L100000102309,way/386018740-765
L100000102167,way/1246177377-765
L100000102168,way/1246177377-765
L100000102169,way/1246177377-765
L100000102173,way/311933111-765
L100000102174,way/311933111-765
L100000102175,way/311933111-765
L100000102176,way/1246177377-765
L100000102240,way/311176519-765
L100000102532,way/655683221-765
L100000102515,way/372701897-765
L100000102602,way/1207477934-765
L100000102603,way/1207477934-765
L100000102490,way/323266562-765
L100000102177,IN541-765
L100000102428,way/429459345-765
L100000102178,way/655683221-765
L100000102491,way/409112085-765
L100000102066,IN748-765
L100000102492,IN578-765
L100000102648,way/196933682-765
L100000102649,way/196563905-765
L100000102516,way/372701897-765
L100000102650,way/352619220-765
L100000102494,way/354062412-765
L100000102223,way/331275940-765
L100000102684,IN336-400
L100000102067,IN684-765
L100000102224,way/688672711-765
L100000102571,way/386153973-765
L100000102179,way/353914865-765
L100001000147,way/1078426593-765
L100000102359,IN404-765
L100000102686,way/118228036-400
L100000102360,way/328548895-765
L100000102361,way/408924420-765
L100000102574,way/425401901-765
L100000102366,way/698045832-765
L100000102533,way/311571096-765
L100000102367,IN365-765
L100000102225,way/688672711-765
L100000102183,way/311933111-765
L100000102184,way/311933111-765
L100000102068,way/409158116-765
L100000102073,way/315824842-765
L100000102652,way/196563905-765
L100000102185,way/423166766-765
L100000102606,way/801704865-765
L100000102431,way/293597835-765
L100000102688,way/793144832-765
L100000102071,way/315824842-765
L100000102228,way/331275940-765
L100000102534,way/654736039-765
L100000102188,IN541-765
L100000102501,way/521570801-765
L100000102502,IN607-765
L100000102504,way/323266562-765
L100000102518,way/372701897-765
L100000102189,way/353914761-765
L100000102653,way/166692103-400
L100000102230,way/688672711-765
L100000102287,way/149822703-400
L100001000571,IN42-765
L100000102583,way/425401901-765
L100000102582,way/425401901-765
L100000102432,way/408924427-765
L100000102689,way/793144832-765
L100000102433,way/473902678-765
L100000102550,way/1074489047-765
L100000102584,way/425401901-765
L100000102586,way/425401901-765
L100000102587,way/425401901-765
L100000102190,way/1246177377-765
L100000102588,way/425401901-765
L100000102311,way/355560316-765
L100000102231,way/331275940-765
L100000102589,way/1206014676-765
L100000102506,way/409112085-765
L100000102654,way/311103617-765
L100000102312,way/386018740-765
L100000102590,way/1074489047-765
L100001000106,way/923365745-765
L100000102232,way/331275940-765
L100000102371,way/328548895-765
L100000102079,way/409158116-765
L100000102081,way/409158116-765
L100000102083,way/409158116-765
L100000102535,way/1143180503-765
L100000102233,IN529-765
L100000102436,way/840600239-765
L100000102437,way/840600239-765
L100000102608,way/923365745-765
L100000102315,way/386018740-765
L100000102536,way/655683221-765
L100000900164,way/425401901-765
L100000900165,way/311571096-765
L100000900166,way/429459345-765
L100000900167,way/360424761-765
L100000900168,way/355560316-765
L100000900169,IN529-765
L100000900170,way/311571096-765
L100000900171,way/453513742-765
L100000900172,way/1078426593-765
L100000900173,way/245128370-765
L100000900174,way/245128370-765
L100000900175,way/492377703-765
L100000900176,way/492377703-765
L100000900177,IN659-765
L100000900178,way/355560316-765
L100000900179,way/453513742-765
L100000900180,way/318090288-765
L100000900181,IN529-765
L100000900182,way/209826798-765
L100000900183,way/688672798-765
L100000900184,way/355560316-765
L100000900185,IN748-765
L100000900186,way/1001700959-765
L100000900187,way/1127651311-765
L100000900188,way/331275940-765
L100000900189,way/1127651311-765
L100000900190,way/1127651311-765
L100000900191,way/453513742-765
L100000900192,IN803-765
L100000900193,IN230-765
L100000900194,IN803-765
L100000900195,IN803-765
L100000900196,IN803-765
L100000900197,IN803-765
L100000900198,way/311571096-765
L100000900199,way/209826798-765
L100000900200,IN803-765
L100000900201,way/311571096-765
L100000900202,IN218-765
L100000900203,way/1127651311-765
L100000900204,IN529-765
L100000900205,IN803-765
L100000900206,way/492377703-765
L100000900207,way/492377703-765
L100000900208,way/1127651311-765
L100000900209,way/492377703-765
L100000900210,IN529-765
L100000900211,way/429459345-765
L100000900212,way/1127651311-765
L100000900213,way/318090288-765
L100000900214,way/386018740-765
L100000900215,way/355560316-765
L100000900216,way/1078426593-765
L100000900217,way/355560316-765
L100000900218,way/355560316-765
L100000900219,way/492377703-765
L100000900220,way/355560316-765
L100000900221,way/688672711-765
L100000900222,way/688672711-765
L100000900224,way/311571096-765
L100000900225,way/311571096-765
L100000900226,way/688672711-765
L100000900227,way/688672711-765
L100000900228,way/688672711-765
L100000900229,way/688672711-765
L100000900231,way/688672711-765
L100000900232,way/688672711-765
L100000900233,IN529-765
L100000900234,way/688672711-765
L100000900235,way/209826798-765
L100000900236,way/688672711-765
L100000900237,IN529-765
L100000900238,way/311571096-765
L100000900239,way/688672798-765
L100000900240,way/342204888-765
L100000900241,way/688672711-765
