bus_id,grid_cell
way/50885643-765,IND_1232
way/97392607-765,IND_1230
way/100470285-765,IND_1048
way/105373531-765,IND_690
way/131484738-765,IND_744
way/192782338-765,IND_910
way/193216698-765,IND_740
way/195459361-765,IND_1044
way/196933682-765,IND_1183
way/201845280-765,IND_791
way/202980838-765,IND_1128
way/209806624-765,IND_1270
way/209826798-765,IND_437
way/245128370-765,IND_835
way/247861059-765,IND_627
way/248385304-765,IND_1267
way/274106872-765,IND_746
way/293597835-765,IND_483
way/311103617-765,IND_1082
way/311118424-765,IND_1047
way/311176519-765,IND_508
way/311571096-765,IND_500
way/311933111-765,IND_1070
way/311954703-765,IND_1154
way/1246177377-765,IND_1201
way/315477169-765,IND_610
way/315823978-765,IND_721
way/315824842-765,IND_944
way/316463122-765,IND_376
way/318050929-765,IND_430
way/318090288-765,IND_327
way/319423421-765,IND_963
way/323266562-765,IND_1280
way/328548895-765,IND_1158
way/331275940-765,IND_201
way/342204888-765,IND_890
way/352619220-765,IND_924
way/353914761-765,IND_1201
way/353914865-765,IND_1155
way/354062412-765,IND_1223
way/355560316-765,IND_594
way/357515226-765,IND_971
way/360424761-765,IND_677
way/369866141-765,IND_445
way/372701897-765,IND_400
way/386018740-765,IND_600
way/386153973-765,IND_713
way/408924420-765,IND_851
way/408924427-765,IND_960
way/409112085-765,IND_1237
way/409112085-765,wof-IND_712
way/409158116-765,IND_1117
way/409158116-765,wof-IND_642
way/409798382-765,IND_1161
way/417569420-765,IND_689
way/420797421-765,IND_688
way/422204218-765,IND_1107
way/423166766-765,IND_1128
way/423702239-765,IND_800
way/425101516-765,IND_805
way/425401901-765,IND_706
way/429459345-765,IND_266
way/453513742-765,IND_228
way/466424134-765,IND_727
way/801704865-765,IND_783
way/473902678-765,IND_159
way/477691456-765,IND_1158
way/506461670-765,IND_1069
way/514344408-765,IND_854
way/521570801-765,IND_1223
way/545571850-765,IND_886
way/551402699-765,IND_687
way/607439318-765,IND_919
way/608461884-765,IND_485
way/631917408-765,IND_287
way/654736039-765,IND_214
way/655683221-765,IND_284
way/686891085-765,IND_119
way/688672711-765,IND_14
way/688672798-765,IND_112
way/698045832-765,IND_493
way/751947947-765,IND_830
way/759521252-765,IND_1360
way/781425567-765,IND_864
way/793144832-765,IND_1388
way/840600239-765,IND_848
way/910151268-765,IND_983
way/910151268-765,wof-IND_575
way/923365745-765,IND_948
way/1001700959-765,IND_78
way/1074489047-765,IND_983
way/1074489047-765,wof-IND_575
way/1077819664-765,IND_448
way/1078426593-765,IND_7
way/1127651311-765,IND_54
way/1143180503-765,IND_146
way/1206014676-765,IND_707
way/1207477934-765,IND_901
way/1329624553-765,IND_864
way/1336628403-765,IND_16
way/1341291951-765,IND_750
way/1415199647-765,IND_867
IN532-765,IND_1155
IN10-765,IND_405
IN372-765,IND_1105
IN328-765,IND_1044
IN373-765,IND_1105
IN367-765,IND_1076
IN289-765,IND_918
IN323-765,IND_1010
IN365-765,IND_1076
IN346-765,IND_1044
IN350-765,IND_1043
IN370-765,IND_1043
IN380-765,IND_1105
IN388-765,IND_1105
IN343-765,IND_1044
IN136-765,IND_687
IN473-765,IND_437
IN244-765,IND_623
IN489-765,IND_236
IN321-765,IND_1010
IN276-765,IND_860
IN327-765,IND_1044
IN288-765,IND_918
IN329-765,IND_1044
IN270-765,IND_803
IN264-765,IND_803
IN272-765,IND_803
IN278-765,IND_860
IN612-765,IND_1261
IN394-765,IND_1132
IN387-765,IND_1043
IN382-765,IND_1043
IN399-765,IND_1075
IN403-765,IND_1132
IN405-765,IND_1132
IN393-765,IND_1132
IN392-765,IND_1133
IN390-765,IND_1133
IN384-765,IND_1076
IN381-765,IND_1105
IN395-765,IND_1132
IN376-765,IND_1043
IN402-765,IND_1075
IN397-765,IND_1075
IN404-765,IND_1075
IN412-765,IND_1158
IN247-765,IND_623
IN250-765,IND_623
IN249-765,IND_623
IN246-765,IND_745
IN490-765,IND_236
IN488-765,IND_236
IN583-765,IND_1222
IN586-765,IND_1221
IN555-765,IND_1223
IN293-765,IND_1107
IN230-765,IND_623
IN233-765,IND_623
IN400-765,IND_1042
IN396-765,IND_1042
IN391-765,IND_1043
IN205-765,IND_971
IN206-765,IND_1013
IN202-765,IND_972
IN101-765,IND_566
IN105-765,IND_627
IN100-765,IND_566
IN85-765,IND_566
IN225-765,IND_920
IN196-765,IND_863
IN229-765,IND_920
IN609-765,IND_1261
IN610-765,IND_1261
IN607-765,IND_1261
IN617-765,IND_1280
IN306-765,IND_1161
IN300-765,IND_1161
IN142-765,IND_448
IN200-765,IND_863
IN171-765,IND_805
IN541-765,IND_1128
IN642-765,IND_272
IN284-765,IND_860
IN239-765,IND_920
IN282-765,IND_860
IN292-765,IND_801
IN295-765,IND_801
IN529-765,IND_201
IN457-765,IND_964
IN540-765,IND_1178
IN240-765,IND_920
IN280-765,IND_860
IN279-765,IND_860
IN539-765,IND_1128
IN537-765,IND_1128
IN476-765,IND_854
IN439-765,IND_964
IN548-765,IND_1223
IN416-765,IND_1158
IN413-765,IND_1158
IN742-765,IND_836
IN749-765,IND_777
IN684-765,IND_1117
IN135-765,IND_687
IN685-765,IND_1117
IN159-765,IND_118
IN161-765,IND_118
IN164-765,IND_118
IN163-765,IND_118
IN187-765,IND_96
IN218-765,IND_78
IN197-765,IND_118
IN807-765,IND_708
IN801-765,IND_649
IN803-765,IND_709
IN798-765,IND_649
IN137-765,IND_626
IN139-765,IND_626
IN148-765,IND_146
IN191-765,IND_118
IN73-765,IND_689
IN42-765,IND_812
IN108-765,IND_449
way/492377703-765,IND_423
IN375-765,IND_1159
IN107-765,IND_507
IN307-765,IND_1107
IN298-765,IND_1107
IN275-765,IND_1046
IN268-765,IND_1047
IN253-765,IND_1012
IN255-765,IND_1012
IN222-765,IND_971
IN201-765,IND_921
IN190-765,IND_921
IN178-765,IND_921
IN254-765,IND_1012
IN116-765,IND_807
IN126-765,IND_807
IN123-765,IND_807
IN120-765,IND_807
IN351-765,IND_1043
IN243-765,IND_971
IN486-765,IND_279
IN277-765,IND_860
IN401-765,IND_1132
IN535-765,IND_1154
IN578-765,IND_1222
IN283-765,IND_1079
IN599-765,IND_1242
IN203-765,IND_972
IN180-765,IND_972
IN104-765,IND_627
IN659-765,IND_228
IN160-765,IND_863
IN174-765,IND_805
IN312-765,IND_1107
IN167-765,IND_863
way/196563905-765,IND_1158
IN748-765,IND_777
IN267-765,IND_1012
IN215-765,IND_78
IN199-765,IND_118
IN194-765,IND_118
IN809-765,IND_708
IN808-765,IND_708
IN806-765,IND_708
IN146-765,IND_393
IN138-765,IND_626
IN140-765,IND_626
IN94-765,IND_507
IN302-765,IND_1107
IN269-765,IND_1047
IN258-765,IND_1012
IN232-765,IND_971
IN257-765,IND_1012
IN217-765,IND_971
IN198-765,IND_921
IN183-765,IND_921
IN175-765,IND_921
IN128-765,IND_807
IN125-765,IND_807
IN121-765,IND_807
way/116541259-400,IND_1396
way/203673991-400,IND_1510
way/239498664-400,IND_1426
way/374367235-400,IND_1481
way/375084335-400,IND_1546
way/375941438-400,IND_1557
way/439006823-400,IND_1508
way/465787206-400,IND_1426
way/610646823-400,IND_1486
way/1072445901-400,IND_1479
way/1099365556-400,IND_1540
way/1099365579-400,IND_1542
way/1265489491-400,IND_1448
way/1265496720-400,IND_1529
IN177-400,IND_1545
IN440-400,IND_1443
IN235-400,IND_1416
IN265-400,IND_1448
IN145-400,IND_1559
